Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16694724k(7917684k free), swap 37666244k(16739252k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-28T20:37:41.153+0800: 0.092: [GC (Allocation Failure) [PSYoungGen: 65536K->10750K(76288K)] 65536K->21759K(251392K), 0.0034143 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.166+0800: 0.104: [GC (Allocation Failure) [PSYoungGen: 76044K->10740K(76288K)] 87053K->42052K(251392K), 0.0045965 secs] [Times: user=0.08 sys=0.05, real=0.01 secs] 
2020-10-28T20:37:41.177+0800: 0.116: [GC (Allocation Failure) [PSYoungGen: 75684K->10746K(76288K)] 106997K->61514K(251392K), 0.0044230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.187+0800: 0.126: [GC (Allocation Failure) [PSYoungGen: 76282K->10743K(76288K)] 127050K->84585K(251392K), 0.0046547 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.198+0800: 0.137: [GC (Allocation Failure) [PSYoungGen: 76279K->10751K(76288K)] 150121K->106394K(251392K), 0.0040647 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.209+0800: 0.148: [GC (Allocation Failure) [PSYoungGen: 76190K->10750K(40448K)] 171833K->130020K(215552K), 0.0047672 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.217+0800: 0.155: [GC (Allocation Failure) [PSYoungGen: 40446K->16945K(58368K)] 159716K->139901K(233472K), 0.0027317 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.222+0800: 0.161: [GC (Allocation Failure) [PSYoungGen: 46641K->25530K(58368K)] 169597K->151371K(233472K), 0.0035691 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.229+0800: 0.167: [GC (Allocation Failure) [PSYoungGen: 54758K->28655K(58368K)] 180599K->158843K(233472K), 0.0039479 secs] [Times: user=0.11 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.236+0800: 0.174: [GC (Allocation Failure) [PSYoungGen: 58309K->17090K(58368K)] 188497K->168195K(233472K), 0.0044402 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.240+0800: 0.179: [Full GC (Ergonomics) [PSYoungGen: 17090K->0K(58368K)] [ParOldGen: 151104K->140926K(175104K)] 168195K->140926K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0170446 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-28T20:37:41.260+0800: 0.199: [GC (Allocation Failure) [PSYoungGen: 29655K->10922K(58368K)] 170582K->151849K(233472K), 0.0019765 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.265+0800: 0.203: [GC (Allocation Failure) [PSYoungGen: 40618K->12998K(58368K)] 181545K->164639K(233472K), 0.0029755 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.267+0800: 0.206: [Full GC (Ergonomics) [PSYoungGen: 12998K->0K(58368K)] [ParOldGen: 151641K->158740K(175104K)] 164639K->158740K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0162832 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-10-28T20:37:41.287+0800: 0.226: [Full GC (Ergonomics) [PSYoungGen: 29377K->0K(58368K)] [ParOldGen: 158740K->164858K(175104K)] 188117K->164858K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0170470 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-28T20:37:41.306+0800: 0.245: [Full GC (Ergonomics) [PSYoungGen: 29086K->0K(58368K)] [ParOldGen: 164858K->169617K(175104K)] 193945K->169617K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0168061 secs] [Times: user=0.06 sys=0.06, real=0.02 secs] 
2020-10-28T20:37:41.326+0800: 0.265: [Full GC (Ergonomics) [PSYoungGen: 29522K->0K(58368K)] [ParOldGen: 169617K->173282K(175104K)] 199140K->173282K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0175957 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2020-10-28T20:37:41.346+0800: 0.285: [Full GC (Ergonomics) [PSYoungGen: 29696K->4031K(58368K)] [ParOldGen: 173282K->174588K(175104K)] 202978K->178620K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0180989 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-10-28T20:37:41.367+0800: 0.306: [Full GC (Ergonomics) [PSYoungGen: 29435K->9746K(58368K)] [ParOldGen: 174588K->174441K(175104K)] 204023K->184188K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0188264 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-28T20:37:41.388+0800: 0.327: [Full GC (Ergonomics) [PSYoungGen: 29696K->13455K(58368K)] [ParOldGen: 174441K->174813K(175104K)] 204137K->188268K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0183500 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
